hour,incidents,avg_cis
0,5815,47.372374892519346
1,11098,50.66287889709858
2,16261,53.023127728921956
3,21565,55.41943936934848
4,23513,56.601226130225825
5,22193,56.22013607894381
6,19838,55.55402812783547
7,19445,54.72055335561841
8,25790,58.48841799146956
9,26996,58.55993887983405
10,32580,60.68992418661755
11,32176,60.72329251616111
12,19689,55.746588958301594
13,11546,53.0927082972458
14,5634,50.03947284345048
15,1224,47.18447712418301
16,583,46.67789022298456
17,377,44.816339522546414
18,150,41.70133333333333
19,27,38.22592592592592
20,42,44.011428571428574
21,148,40.92641891891892
22,725,40.452799999999996
23,1035,44.26036714975846
